Corrected Roll,Corrected Pitch,Gesture Map,Predicted Gesture
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-2,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-2,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-2,3,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,3,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,3,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,4,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,4,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,4,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-1,4,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
Corrected Roll,Corrected Pitch,Gesture Map,Predicted Gesture
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,2,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
0,1,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
10,-7,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 0, 'Tilt Right': 0}", Neutral
-35,-24,"{'Tilt Up': 0, 'Tilt Down': 0, 'Tilt Left': 1, 'Tilt Right': 0}", Neutral
-5,-39,"{'Tilt Up': 0, 'Tilt Down': 2, 'Tilt Left': 1, 'Tilt Right': 0}", Neutral
-3,-30,"{'Tilt Up': 0, 'Tilt Down': 5, 'Tilt Left': 1, 'Tilt Right': 0}", Neutral
-3,-22,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Neutral
-3,-13,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-2,-7,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-2,-2,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-2,1,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-2,3,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-2,4,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-1,5,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-2,5,"{'Tilt Up': 0, 'Tilt Down': 7, 'Tilt Left': 1, 'Tilt Right': 0}", Swipe Up
-2,5,"{'Tilt Up': 0, 'Tilt Down': 6, 'Tilt Left': 0, 'Tilt Right': 0}", Swipe Up
-2,5,"{'Tilt Up': 0, 'Tilt Down': 3, 'Tilt Left': 0, 'Tilt Right': 0}", Swipe Up
-2,5,"{'Tilt Up': 0, 'Tilt Down': 1, 'Tilt Left': 0, 'Tilt Right': 0}", Swipe Up
